age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
36,Female,15786,6.46,5,17,6.57,2.69,0.27,3,6.75,6.5,5.93,7.53,85.47,58.47,4.52,0.69,0.16,0.82,0.45,0.43,9.16,10,63,0.56,7,0,0.15,4,3.52,2.45,4.53,25.91,12.1,4.94,6.19,29,9
23,Female,84350,2.7,1,4,9.27,1.54,4.09,5,6.99,7.09,6.33,5.38,62.33,48.41,2.7,0.66,0.27,0.18,0.25,0.18,10.43,29,428,2.64,2,1,210.8,5,2.99,3.06,4.13,28.62,13.84,6.32,5.83,65,5
29,Male,117936,0.58,1,1,9.69,2.48,1.85,5,4.59,1.9,6.64,5.23,75.17,49.37,0.0,0.56,0.43,0.32,0.43,0.39,4.66,48,158,1.03,0,1,199.86,0,2.05,6.6,5.75,21.3,7.26,6.79,3.25,82,8
20,Male,47144,6.29,2,20,4.73,4.67,3.12,6,4.76,7.01,7.47,5.87,95.83,69.27,4.82,0.64,0.23,0.4,0.61,0.58,16.53,40,243,1.5,9,0,603.84,1,4.85,3.36,8.49,19.9,9.94,5.95,6.47,62,10
47,Male,75186,7.94,6,23,7.28,1.73,1.05,7,5.06,4.65,2.33,6.57,55.46,77.56,5.99,0.28,0.26,0.46,0.61,0.67,1.14,23,368,2.48,0,1,72.15,7,4.93,5.91,7.12,23.12,9.5,7.33,4.98,97,8
47,Male,33914,14.7,3,0,9.49,1.25,4.46,7,6.5,3.4,3.28,4.98,85.19,59.66,10.0,0.46,0.31,0.36,0.7,0.79,4.51,19,135,1.09,0,1,122.12,7,4.27,2.49,6.71,21.19,20.67,2.53,0.0,11,9
45,Female,58475,3.79,34,22,4.85,3.05,1.12,10,4.68,5.23,1.89,6.43,85.97,52.74,1.0,0.8,0.4,0.47,0.25,0.12,2.55,32,146,2.01,2,0,1463.32,7,6.05,5.46,5.15,27.68,4.99,4.54,8.7,24,10
17,Male,125597,1.27,3,8,6.71,0.27,1.74,4,0.85,5.41,3.8,10.0,34.67,61.07,0.92,0.66,0.23,0.61,0.56,0.89,10.71,33,93,1.8,9,0,32.08,10,5.36,2.55,6.57,29.07,3.17,1.64,2.49,71,5
54,Other,149612,4.91,29,18,7.37,0.08,1.48,7,5.77,7.56,6.13,3.78,90.05,57.29,3.87,0.08,0.18,0.17,0.44,0.96,7.44,3,370,1.19,1,1,289.99,7,2.56,5.62,5.12,30.0,12.42,4.85,2.54,79,3
51,Female,74611,0.58,4,21,6.55,1.13,0.07,10,2.88,4.09,3.2,7.69,59.45,98.72,0.0,0.75,0.34,0.8,0.46,0.52,4.96,35,184,1.0,6,1,2053.41,2,1.07,5.7,5.66,24.51,2.0,4.29,4.13,89,1
53,Female,81545,6.09,11,20,8.02,0.48,0.79,9,4.36,7.05,6.89,3.79,43.77,70.55,2.82,0.74,0.43,0.16,0.83,0.78,1.04,44,477,1.39,5,0,193.89,5,3.28,6.77,6.24,25.99,8.09,4.14,4.3,37,9
40,Female,135288,1.37,2,7,6.48,0.46,2.49,8,9.54,5.54,7.69,4.52,77.56,50.52,1.58,0.71,0.2,0.33,0.56,0.73,4.68,42,489,0.36,9,1,39.37,9,3.32,5.46,8.59,20.13,2.99,7.64,1.0,96,5
19,Female,119548,2.22,35,20,7.14,0.69,0.72,3,5.17,2.01,4.93,8.72,89.2,58.79,1.25,0.25,0.23,0.18,0.68,0.85,5.33,46,247,4.31,9,1,145.5,5,3.01,0.45,6.72,24.33,9.24,4.29,6.66,26,7
21,Male,118382,3.72,39,9,5.24,2.27,2.31,5,6.58,0.84,6.96,6.38,71.83,64.75,3.35,0.41,0.13,0.16,0.33,0.85,2.2,17,15,1.48,10,0,193.59,7,3.88,2.99,6.11,25.55,16.26,4.95,4.06,78,10
20,Female,26278,3.37,33,24,4.57,8.58,0.44,3,7.57,1.81,7.97,6.73,79.27,62.23,1.96,0.22,0.39,0.47,0.69,0.11,17.29,13,4,1.19,6,0,66.78,3,4.79,3.38,2.49,20.14,7.58,7.22,8.62,74,7
24,Female,107914,3.78,5,8,5.34,3.09,0.33,3,4.54,4.62,4.76,6.53,57.05,46.86,1.8,0.21,0.41,0.02,0.78,0.05,4.56,18,200,1.65,0,1,143.06,6,4.29,0.0,4.7,22.27,9.34,5.5,4.75,25,5
46,Female,49119,4.69,28,22,9.13,0.34,2.85,1,2.86,5.86,5.75,7.11,67.31,68.63,3.49,0.33,0.27,0.41,0.71,0.86,1.74,19,337,0.75,9,1,138.66,8,0.33,1.28,5.17,28.58,7.57,5.61,4.78,22,2
45,Female,43354,1.12,13,2,9.98,7.81,1.41,8,4.51,6.66,7.48,8.31,79.28,74.98,0.0,0.31,0.29,0.66,0.7,0.46,6.45,44,360,1.91,0,0,1056.05,10,3.4,5.17,7.33,26.95,4.47,7.9,0.0,21,6
35,Male,58839,2.34,30,3,6.71,1.53,1.61,8,4.75,2.03,5.62,6.64,54.72,75.79,2.36,0.67,0.24,0.68,0.36,0.12,3.4,47,461,2.98,3,1,906.31,3,7.47,2.07,5.14,17.88,3.1,4.43,4.36,27,3
36,Female,5042,2.96,35,19,6.28,4.42,2.09,6,5.06,8.57,7.51,3.37,94.03,99.88,3.73,0.96,0.12,0.59,0.97,0.13,2.46,40,79,2.3,10,0,1310.97,2,4.14,6.13,6.14,21.44,4.31,7.64,4.07,55,10
49,Male,126692,0.34,35,23,6.78,3.88,1.65,8,5.73,5.44,8.65,6.5,66.61,68.06,0.0,0.4,0.2,0.42,0.76,0.41,9.94,25,156,0.4,6,0,329.16,0,4.69,2.79,2.64,24.77,4.52,6.56,4.11,19,4
47,Female,65465,4.19,10,0,5.78,0.47,2.12,8,0.28,2.79,6.54,4.58,82.79,56.61,1.94,0.63,0.07,0.73,0.57,0.82,3.33,44,309,1.38,0,0,815.87,10,7.1,1.33,3.96,26.27,11.54,6.44,3.76,56,9
56,Male,136998,3.82,3,17,9.47,0.21,0.02,1,5.36,2.32,8.04,6.97,82.72,100.0,1.53,0.19,0.18,0.64,0.65,0.84,14.6,15,69,1.09,1,0,131.12,5,4.39,2.7,1.14,21.91,6.46,1.39,5.35,46,7
52,Male,144766,7.72,1,4,3.3,2.99,0.14,5,3.56,6.91,3.51,7.26,88.05,64.73,5.85,0.34,0.17,0.58,0.12,0.26,7.64,27,159,1.13,6,1,1822.69,3,2.86,10.0,6.59,18.32,11.99,8.3,3.52,28,6
34,Female,35503,3.25,2,4,8.61,0.81,1.33,5,3.4,5.96,8.47,10.0,56.32,24.33,2.6,0.33,0.22,0.48,0.89,0.76,6.62,30,42,1.74,2,1,38.37,7,1.78,5.03,3.2,24.12,7.44,5.26,0.11,6,8
39,Other,93273,4.9,12,18,6.79,5.49,0.16,4,5.43,3.44,8.18,5.14,56.89,46.01,4.45,0.57,0.19,0.12,0.54,0.55,3.7,35,430,2.42,5,0,380.48,10,6.79,6.38,3.93,26.44,6.56,5.7,2.78,41,10
47,Male,41094,4.81,7,3,10.47,1.57,3.52,6,3.79,2.08,3.01,5.83,78.22,59.27,2.27,0.32,0.32,0.5,0.52,0.54,4.47,14,373,1.56,8,1,596.92,4,4.7,4.59,6.73,22.49,14.07,9.89,6.91,71,10
13,Female,5540,15.76,30,5,7.69,0.08,1.08,1,0.0,1.12,8.19,4.63,72.1,61.85,10.0,0.52,0.54,0.45,0.96,0.4,4.3,12,484,2.42,0,1,280.93,3,2.45,10.0,4.88,32.51,20.96,2.1,2.44,8,1
47,Female,136479,1.82,19,7,7.27,3.41,3.09,9,4.34,0.0,7.01,8.59,89.23,94.52,2.77,0.38,0.21,0.49,0.81,0.35,7.51,41,246,1.86,4,1,1352.01,8,0.52,6.11,7.32,19.21,4.2,3.75,2.79,98,8
49,Female,71444,6.87,6,8,7.0,0.1,1.75,7,2.92,4.22,4.89,7.34,42.33,80.61,6.04,0.83,0.48,0.33,0.6,0.3,5.89,19,146,0.74,8,0,452.9,10,2.49,6.54,5.76,24.97,12.4,6.18,5.92,70,6
59,Female,82259,5.09,18,10,9.0,0.96,3.51,7,8.43,4.73,9.86,6.99,57.03,69.07,5.23,0.49,0.46,0.7,0.89,0.21,3.4,23,218,1.42,10,0,142.86,5,4.66,0.05,6.32,26.69,12.45,6.16,0.0,66,7
26,Female,141940,4.96,18,2,6.51,0.66,1.16,3,7.65,6.54,5.2,5.17,84.73,70.66,4.88,0.52,0.48,0.63,0.71,0.35,4.39,12,216,2.08,5,0,538.65,2,2.95,3.09,6.01,33.05,9.03,3.12,0.44,75,1
15,Female,77705,3.48,14,23,6.01,0.31,1.72,8,5.3,5.82,6.89,4.36,80.05,68.02,4.09,0.75,0.32,0.45,0.29,0.73,3.01,32,182,3.7,2,0,534.0,2,0.0,5.46,5.47,23.97,4.62,5.41,4.83,0,1
13,Female,80853,9.53,10,2,5.9,2.13,2.37,3,4.73,0.0,3.51,5.17,63.95,69.88,8.11,0.38,0.38,0.53,0.63,0.36,5.19,13,254,4.04,9,1,42.96,6,6.66,3.81,4.58,20.82,10.54,6.51,0.92,76,1
17,Male,28717,8.12,12,6,8.44,0.1,1.0,4,3.85,3.53,3.81,7.49,61.95,71.4,7.2,0.54,0.44,0.27,0.88,0.29,13.37,41,247,3.51,7,1,157.76,4,5.84,2.74,7.02,28.02,12.58,3.7,2.23,99,9
38,Male,62965,5.98,37,9,7.39,0.63,0.19,9,3.82,0.66,7.62,7.96,89.78,55.23,3.77,0.38,0.59,0.43,0.47,0.56,2.66,46,235,0.19,0,1,152.13,2,2.81,5.77,9.96,29.0,10.32,3.75,4.72,38,9
26,Female,59808,6.0,12,0,7.7,5.29,4.66,3,8.21,5.88,3.33,3.75,72.22,64.18,5.2,0.35,0.26,0.33,0.63,0.48,35.72,47,114,2.05,5,1,99.88,8,5.93,6.53,6.69,22.17,8.81,3.48,1.34,0,2
51,Female,70520,8.92,5,23,8.41,1.48,1.6,5,6.07,5.18,9.69,6.25,62.59,74.42,6.86,0.27,0.01,0.74,0.45,0.68,17.74,48,395,0.66,10,1,167.99,5,3.82,4.44,4.09,20.13,12.25,6.97,4.44,80,8
39,Female,148851,3.29,39,0,6.75,0.45,0.01,8,5.33,5.04,7.95,4.55,78.27,63.92,3.56,0.75,0.1,0.18,0.55,0.25,2.51,37,352,1.47,0,1,272.42,3,1.55,7.09,5.9,32.76,7.86,3.12,4.84,38,2
21,Female,15008,1.79,5,18,5.49,0.87,4.24,4,6.75,5.67,5.54,7.11,76.91,76.11,2.75,0.36,0.35,0.44,0.66,0.27,3.01,42,227,1.74,0,0,659.3,9,6.24,3.41,5.62,23.85,7.3,3.21,4.16,12,6
27,Male,46882,2.55,4,1,7.71,2.89,1.14,10,2.62,3.38,8.75,7.54,68.75,79.0,2.49,0.54,0.66,0.01,0.43,0.09,7.22,23,328,2.9,6,1,328.59,1,6.33,6.2,6.6,36.28,5.93,5.17,0.0,67,1
27,Female,49200,0.81,19,13,7.41,2.47,1.91,7,4.64,7.6,8.26,5.54,73.08,56.36,0.59,0.57,0.23,0.55,0.45,0.17,4.72,7,496,1.9,0,0,289.07,5,5.46,2.88,5.39,20.82,12.25,8.29,1.41,48,4
38,Male,98905,2.13,26,4,8.7,4.88,2.06,6,7.2,1.26,8.65,7.15,98.23,74.29,2.18,0.84,0.44,0.32,0.79,0.3,7.16,48,352,2.59,8,1,1050.59,9,5.79,3.12,6.45,21.92,2.52,4.29,1.71,80,2
54,Female,56233,6.74,23,7,7.05,0.15,3.42,2,5.0,5.92,10.0,3.25,93.76,66.15,5.48,0.53,0.4,0.05,0.74,0.44,1.17,30,299,2.62,6,0,16.51,6,3.35,5.72,4.72,28.0,8.33,5.43,5.96,64,2
25,Male,114072,8.0,34,23,6.91,0.8,1.12,4,4.89,0.0,8.3,3.89,75.0,68.21,5.28,0.15,0.19,0.28,0.5,0.16,4.78,35,423,1.43,2,1,229.11,7,2.36,8.14,8.75,20.38,12.58,5.63,3.51,42,3
44,Male,148820,5.64,19,9,3.19,5.21,1.75,4,5.13,3.4,4.5,2.35,95.54,75.6,4.98,0.44,0.23,0.81,0.81,0.53,7.13,45,406,1.95,8,0,490.8,2,4.16,3.44,2.68,22.84,13.99,4.15,5.01,94,8
51,Male,34385,1.05,15,16,6.33,3.38,0.4,6,4.54,4.16,7.45,5.06,70.4,78.81,0.0,0.56,0.27,0.44,0.76,0.32,12.25,2,422,1.01,10,1,148.56,9,4.39,4.29,2.78,29.28,2.75,6.23,6.17,30,9
44,Female,120415,0.67,24,24,6.31,1.63,2.88,4,5.73,0.02,6.27,6.64,83.41,89.49,1.02,0.87,0.64,0.44,0.55,0.22,9.05,34,12,1.08,0,1,64.79,7,5.2,2.86,6.93,22.44,4.4,6.64,8.12,9,1
16,Male,140325,9.56,33,13,7.9,0.07,0.07,3,4.15,7.03,5.0,3.64,61.64,68.62,7.11,0.49,0.18,0.6,0.84,0.16,3.08,15,161,0.85,9,0,786.36,9,4.28,5.53,6.79,23.34,10.79,3.24,6.79,92,7
42,Male,82439,0.2,2,7,5.65,0.47,5.39,8,5.89,4.24,9.63,4.8,77.2,97.5,0.52,0.51,0.33,0.69,0.21,0.11,6.58,45,280,0.56,5,1,1115.08,9,4.81,6.76,7.73,23.18,3.77,3.53,5.42,61,6
49,Male,102831,1.09,28,21,7.76,6.0,0.19,2,5.66,5.89,6.03,6.29,80.08,84.6,0.79,0.16,0.3,0.36,0.6,0.52,4.95,25,145,2.0,2,0,185.73,3,2.5,5.59,6.0,22.3,1.73,5.06,5.0,24,4
35,Male,121203,3.32,35,0,7.67,1.04,2.63,4,2.38,5.36,5.44,4.35,89.42,69.04,2.12,0.48,0.38,0.53,0.58,0.66,4.3,17,77,2.71,0,0,14.4,1,0.0,5.47,7.14,22.15,9.39,7.88,3.68,92,10
51,Female,127089,6.24,29,4,8.02,0.44,0.02,7,5.39,6.24,5.38,5.7,60.21,68.06,3.07,0.83,0.56,0.33,0.52,0.39,1.27,18,171,1.23,1,0,38.39,0,3.31,7.85,9.77,21.57,6.87,6.52,7.96,94,8
57,Female,75624,0.93,2,22,8.06,2.18,2.95,8,2.09,6.31,4.47,8.48,60.09,87.77,0.0,0.31,0.63,0.59,0.32,0.92,5.52,19,144,2.16,2,0,733.25,7,6.7,6.21,6.73,22.1,4.91,6.9,5.56,60,9
27,Female,41960,1.41,25,1,7.11,0.34,0.18,8,5.22,5.67,5.49,5.18,74.82,76.21,1.75,0.57,0.36,0.25,0.64,0.67,2.59,15,152,2.42,2,0,929.53,1,5.14,5.72,4.86,31.53,6.79,8.72,8.05,20,2
55,Male,8302,1.48,13,15,5.95,7.42,2.7,3,3.83,4.9,6.3,5.74,55.14,72.22,0.32,0.67,0.15,0.35,0.36,0.79,13.45,27,0,0.63,3,0,7.39,10,7.68,4.66,5.48,30.44,6.92,4.32,4.31,29,7
41,Male,25284,0.41,5,17,11.46,1.58,0.08,9,2.99,5.12,4.97,5.95,50.01,70.11,0.0,0.57,0.13,0.18,0.47,0.74,4.25,23,188,3.36,5,0,778.82,9,0.74,9.66,6.15,28.04,3.08,4.17,6.45,0,4
48,Male,120699,2.8,16,21,5.24,0.72,2.05,2,2.39,8.05,4.91,4.06,65.32,74.97,2.45,0.49,0.13,0.13,0.41,0.27,4.25,8,366,2.91,3,1,692.37,6,4.74,1.12,4.37,21.24,4.37,7.08,5.69,45,8
25,Male,104687,1.11,1,15,7.8,0.11,0.89,10,7.11,9.44,8.52,8.18,90.86,72.21,2.0,0.36,0.39,0.45,0.51,0.44,0.89,19,296,1.71,3,1,209.53,7,4.26,3.48,8.09,20.52,4.11,7.04,3.52,19,4
44,Male,30861,3.96,35,1,8.11,1.51,4.34,3,3.64,4.14,5.31,5.81,75.56,67.42,3.46,0.38,0.16,0.58,0.8,0.29,4.69,28,66,1.92,6,1,895.8,6,6.39,5.41,6.97,24.83,5.06,2.33,4.24,42,3
19,Male,65338,5.61,27,19,8.48,2.24,1.28,5,7.89,3.98,7.42,7.52,60.33,90.53,3.49,0.85,0.36,0.41,0.4,0.83,8.64,39,365,1.18,10,0,158.37,10,6.2,3.32,6.1,22.47,11.81,7.64,2.5,41,6
34,Male,16061,5.47,23,15,3.48,0.65,0.48,8,4.67,4.8,7.32,7.24,36.46,84.79,5.08,0.22,0.15,0.52,0.78,0.53,13.52,5,50,5.04,5,0,328.83,1,6.34,3.47,5.95,29.77,11.87,4.7,1.04,97,2
40,Male,120158,3.24,4,2,6.73,2.46,0.52,2,3.7,6.05,6.99,6.02,67.76,82.89,2.42,0.66,0.09,0.28,0.55,0.83,0.14,2,165,0.66,2,1,279.78,7,3.43,5.61,8.21,28.19,6.59,4.67,4.95,87,6
14,Male,7385,3.7,37,3,6.68,3.43,0.47,9,7.26,5.08,5.34,8.76,75.92,49.23,4.12,0.13,0.36,0.3,0.21,0.28,13.3,2,312,5.02,1,0,916.53,6,4.72,6.06,3.96,11.36,10.41,6.5,2.87,97,3
54,Male,92072,5.48,7,8,8.37,3.13,0.67,1,5.34,1.78,6.64,3.5,59.7,55.26,4.21,0.65,0.05,0.09,0.72,0.07,7.64,42,281,1.45,10,0,136.82,2,3.48,6.21,5.46,26.19,12.1,2.43,1.34,47,5
57,Female,148030,6.4,19,0,7.91,0.7,2.0,7,6.47,3.87,4.43,10.0,73.7,63.39,4.26,0.31,0.51,0.46,0.9,0.65,5.76,11,227,3.3,1,1,153.44,0,3.09,4.68,3.99,17.94,9.89,5.21,2.75,26,10
18,Male,125560,8.66,28,20,7.83,1.71,0.85,4,4.89,1.6,4.71,5.02,57.92,54.46,5.05,0.84,0.1,0.15,0.58,0.15,2.7,49,289,1.17,8,0,312.07,0,4.75,4.92,8.62,22.73,13.1,5.66,0.0,61,10
40,Female,130713,4.8,25,17,8.64,0.99,0.55,1,4.08,10.0,7.31,2.38,56.69,47.61,3.28,0.6,0.45,0.11,0.03,0.7,6.97,25,425,1.99,1,1,40.59,7,7.03,8.59,4.52,26.68,9.13,3.34,5.28,21,5
40,Female,29389,0.72,28,5,8.16,2.22,3.68,5,2.67,5.01,4.86,2.97,94.98,62.45,0.57,0.61,0.19,0.53,0.37,0.36,1.21,32,428,0.7,8,1,94.84,5,2.26,0.5,5.03,22.11,6.19,5.34,4.55,61,3
56,Male,15623,4.0,26,14,4.55,4.51,4.3,8,6.24,5.51,6.39,7.71,65.29,89.84,4.4,0.51,0.11,0.38,0.23,0.42,2.45,1,14,1.64,5,1,39.64,1,3.61,2.78,2.31,24.0,5.6,8.56,5.03,82,7
56,Female,107215,2.29,34,8,5.17,5.97,4.24,7,4.76,4.5,6.21,8.32,66.63,57.8,0.93,0.92,0.1,0.48,0.69,0.17,16.46,18,433,0.68,8,0,2388.86,0,4.59,5.64,7.64,23.07,5.48,3.93,5.54,60,7
32,Male,137517,0.52,4,14,8.24,0.84,4.76,2,1.76,3.69,6.17,4.48,84.97,100.0,1.29,0.52,0.29,0.58,0.68,0.11,8.04,14,498,2.68,7,1,1111.34,6,3.27,4.77,5.96,25.28,1.83,7.59,1.69,46,6
42,Female,77321,1.47,30,18,6.78,0.57,1.77,4,4.65,2.88,9.01,5.18,86.23,100.0,1.84,0.14,0.18,0.44,0.75,0.67,4.73,25,138,2.0,10,1,725.98,4,4.62,7.82,5.23,25.34,8.36,5.27,6.47,6,7
23,Male,124025,2.87,2,11,8.18,2.83,0.77,9,3.27,4.17,3.51,7.22,75.34,50.06,2.56,0.64,0.24,0.87,0.69,0.17,4.3,28,69,1.81,5,1,1382.16,8,4.91,3.61,7.92,27.53,11.45,4.68,5.25,3,3
40,Female,18911,2.95,10,7,8.48,1.55,0.98,8,5.96,4.99,4.44,5.36,66.2,71.23,1.11,0.48,0.08,0.46,0.71,0.36,2.96,8,294,1.46,4,0,1347.64,6,3.64,5.22,5.48,24.78,7.28,4.33,3.33,91,5
37,Male,77807,4.62,3,10,6.91,2.28,0.96,6,4.94,3.22,6.65,6.9,56.46,81.55,2.62,0.94,0.3,0.22,0.34,0.53,2.59,12,277,3.36,6,0,1828.54,1,5.06,4.78,5.6,21.27,6.37,2.75,2.26,50,6
51,Other,67782,3.12,25,22,8.09,0.35,0.19,4,6.7,4.33,6.04,8.1,66.83,95.85,1.22,0.42,0.26,0.52,0.97,0.2,0.49,32,125,0.75,4,0,62.59,10,7.16,7.27,7.75,32.47,3.76,3.98,2.62,99,2
45,Male,84065,2.63,3,20,7.3,0.04,0.05,5,5.28,6.71,6.16,4.71,66.71,84.25,2.3,0.21,0.19,0.76,0.64,0.35,5.18,45,451,1.3,0,1,681.24,3,0.65,4.08,3.39,31.81,3.8,5.61,6.15,42,8
13,Female,16458,3.1,20,14,5.25,0.39,0.04,7,7.29,6.31,6.32,1.82,100.0,67.36,1.14,0.35,0.13,0.15,0.17,0.29,11.52,13,331,2.96,8,0,983.93,3,2.61,6.14,7.99,29.94,9.89,6.29,5.87,85,10
39,Female,62922,6.2,20,13,5.67,0.28,0.21,9,3.97,3.18,6.94,10.0,89.89,78.19,3.91,0.17,0.2,0.31,0.32,0.76,6.05,42,113,3.34,2,0,9.14,2,6.98,4.51,3.02,22.74,6.54,5.3,5.95,62,9
25,Female,96879,2.72,32,2,7.85,0.13,3.71,6,4.77,8.0,8.69,5.98,98.27,64.89,1.47,0.55,0.13,0.8,0.65,0.35,4.11,27,6,0.58,6,0,451.89,3,5.26,4.24,7.03,25.33,6.17,4.55,7.83,17,3
53,Female,83932,1.04,35,3,5.58,6.9,3.8,5,5.53,7.93,8.1,7.88,75.22,67.37,0.2,0.34,0.44,0.39,0.68,0.66,10.98,42,471,2.99,5,0,162.7,0,8.49,6.25,6.17,20.9,2.8,5.69,6.62,36,9
15,Male,38817,3.99,11,19,10.12,1.65,2.39,10,5.82,5.79,2.16,8.03,91.03,49.11,4.11,0.85,0.04,0.44,0.67,0.25,5.51,27,454,0.77,8,1,371.04,5,6.75,4.26,6.91,24.88,4.72,7.16,3.57,79,10
51,Male,22286,0.88,4,19,7.04,2.58,0.37,8,7.27,4.86,7.4,4.81,89.96,40.53,2.01,0.51,0.38,0.06,0.16,0.66,5.25,42,469,3.61,2,1,103.48,6,1.95,3.44,2.24,29.05,3.08,6.21,1.99,43,3
18,Female,82723,1.43,6,16,9.16,0.19,1.39,8,5.78,6.66,7.69,4.02,64.53,78.66,1.36,0.55,0.49,0.36,0.23,0.51,11.71,23,260,0.3,3,1,274.39,1,5.59,10.0,4.23,28.62,3.28,5.26,6.77,24,3
20,Male,108916,1.91,35,17,5.82,3.04,4.43,3,3.3,4.01,10.0,6.35,87.8,58.87,0.76,0.38,0.44,0.34,0.76,0.36,6.6,11,40,0.38,9,0,403.61,2,6.3,5.34,3.89,17.81,6.01,5.55,4.03,44,9
39,Male,34384,3.21,36,20,5.77,1.78,3.18,4,4.26,7.0,8.79,6.55,74.96,68.27,2.94,0.15,0.34,0.25,0.59,0.33,6.39,29,410,2.22,1,1,189.42,7,3.47,7.42,8.17,20.66,6.85,4.54,3.63,54,4
21,Female,70766,7.08,6,11,5.85,2.91,0.07,9,1.65,6.7,8.08,8.61,63.71,52.8,2.37,0.22,0.5,0.36,0.53,0.26,6.05,7,84,1.51,7,0,790.05,0,7.76,8.33,7.76,29.87,8.76,3.98,3.92,89,7
49,Female,140110,6.48,5,20,6.8,1.16,0.46,1,9.93,7.5,5.7,8.02,81.22,47.26,5.59,0.47,0.34,0.2,0.67,0.4,6.27,5,230,1.93,2,0,505.96,6,5.88,5.99,5.99,20.3,13.24,3.85,3.93,96,9
45,Female,65148,6.31,17,19,8.4,0.34,0.52,6,5.0,7.85,5.86,6.08,60.02,96.37,3.91,0.2,0.06,0.13,0.94,0.81,4.74,38,467,0.35,2,1,1252.34,2,5.06,5.16,4.3,20.94,11.49,3.41,5.18,2,3
54,Male,125918,5.1,35,19,7.41,0.12,0.48,3,7.21,3.81,4.01,8.88,78.9,65.44,2.98,0.79,0.25,0.41,0.35,0.81,5.02,36,171,0.6,5,1,687.27,1,4.9,4.87,3.1,25.16,6.21,3.63,5.74,95,10
56,Female,21889,3.66,32,5,8.5,1.89,1.05,5,7.33,5.5,4.63,5.31,56.83,73.61,2.79,0.59,0.25,0.28,0.07,0.6,8.19,15,265,1.86,2,0,10.32,8,2.66,7.5,8.44,19.27,10.0,5.3,2.54,60,10
36,Male,41789,5.42,24,21,7.0,2.63,6.47,7,4.3,6.03,7.48,6.1,62.3,69.41,4.12,0.25,0.6,0.18,0.83,0.51,4.71,22,222,4.81,9,0,390.56,10,4.63,5.77,6.61,20.96,8.76,8.03,2.24,44,4
27,Female,13887,4.58,30,18,6.04,3.38,0.82,10,5.51,5.49,6.75,1.48,62.88,57.98,3.82,0.61,0.16,0.4,0.73,0.82,9.64,39,393,6.76,7,0,167.14,4,4.46,2.37,4.9,33.28,9.29,4.89,2.55,32,6
44,Female,85026,1.4,18,1,5.55,2.54,1.19,10,6.09,2.39,5.9,8.7,65.95,71.68,2.09,0.77,0.3,0.72,0.85,0.44,1.47,20,313,1.22,7,1,900.23,5,7.37,6.68,5.17,19.15,4.76,3.66,4.63,91,4
44,Female,71665,0.94,24,2,8.45,1.82,3.87,5,3.15,2.61,3.13,3.63,59.93,33.74,1.31,0.79,0.47,0.21,0.27,0.88,10.36,23,221,0.86,9,1,412.63,9,7.44,5.37,3.45,21.11,6.3,5.02,5.31,40,1
36,Male,30088,1.89,20,12,10.71,3.82,5.88,5,5.49,3.98,2.33,5.58,57.8,76.39,1.32,0.52,0.25,0.62,0.78,0.7,4.52,34,26,0.38,10,0,179.07,5,3.79,5.59,5.66,33.33,6.74,4.33,6.21,60,5
53,Male,73830,2.98,11,4,7.75,0.79,0.88,3,6.02,0.21,1.79,4.88,81.5,66.6,0.59,0.66,0.1,0.05,0.8,0.43,2.28,47,308,4.15,10,1,898.38,4,5.77,3.58,8.36,27.86,11.48,8.11,5.1,81,4
24,Female,46237,3.2,30,2,5.5,0.15,2.24,6,3.68,7.54,4.34,8.27,51.29,72.89,1.59,0.56,0.25,0.52,0.93,0.45,14.84,24,172,1.63,6,1,102.82,2,4.0,3.71,6.76,24.35,8.63,5.0,4.7,59,10
51,Female,103576,2.86,15,19,7.35,2.9,0.09,9,3.32,4.66,8.44,4.14,54.98,100.0,1.84,0.09,0.34,0.2,0.71,0.56,10.32,13,131,2.88,4,0,864.91,8,4.24,5.23,4.57,25.04,9.84,2.16,4.3,99,5
14,Female,59604,8.88,32,14,6.28,1.1,1.7,4,2.66,8.28,7.83,4.6,64.68,71.89,6.41,0.77,0.44,0.16,0.85,0.19,7.29,31,33,1.06,4,1,140.5,0,5.89,5.32,6.38,26.59,10.05,4.9,3.32,28,9
15,Male,111644,0.9,3,20,5.07,1.9,0.3,1,1.3,1.45,6.38,5.75,64.95,77.78,0.0,0.48,0.16,0.24,0.47,0.27,9.59,11,259,0.86,6,1,39.54,8,5.84,4.33,8.09,33.1,2.88,8.31,5.9,70,7
49,Male,17298,0.98,36,22,5.4,3.65,1.26,9,0.98,2.27,10.0,6.76,67.38,66.8,0.0,0.88,0.29,0.27,0.83,0.28,1.34,3,342,4.18,6,1,191.76,7,5.98,6.14,4.9,26.73,4.69,6.85,1.79,75,10
